codigo,nombre,url,imagen,hex,rgb,familia,ambiente
52YY 83/223,Jugo de Limón,https://www.alba.com.ar/es/paletas-de-colores/jugo-de-limon-52yy-83-223-3137126,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234418.png,#F9E8BC,"249,232,188",Amarillo,
40YY 71/335,Junquillo Amarillo,https://www.alba.com.ar/es/paletas-de-colores/junquillo-amarillo-40yy-71-335-1672013,,#F4D497,"244,212,151",Amarillo,
60YY 47/608,Kiwi Amarillento,https://www.alba.com.ar/es/paletas-de-colores/kiwi-amarillento-60yy-47-608-1672518,,#CBB132,"203,177,50",Amarillo,
63YY 79/219,Kiwi Amarillo,https://www.alba.com.ar/es/paletas-de-colores/kiwi-amarillo-63yy-79-219-1672570,,#F1E4B8,"241,228,184",Amarillo,
60YY 57/304,Kiwi Dorado,https://www.alba.com.ar/es/paletas-de-colores/kiwi-dorado-60yy-57-304-1672521,,#D6C387,"214,195,135",Amarillo,
43YY 65/687,Limón Ardiente *,https://www.alba.com.ar/es/paletas-de-colores/limon-ardiente-43yy-65-687-1672056,,#FBCB3B,"251,203,59",Amarillo,
56YY 86/241,Limón Hielo,https://www.alba.com.ar/es/paletas-de-colores/limon-hielo-56yy-86-241-1672457,,#FBE8B8,"251,232,184",Amarillo,
60YY 83/250,Limón Pálido,https://www.alba.com.ar/es/paletas-de-colores/limon-palido-60yy-83-250-1672548,,#F8E6B5,"248,230,181",Amarillo,
54YY 69/747,Limón Verde *,https://www.alba.com.ar/es/paletas-de-colores/limon-verde-54yy-69-747-3137140,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-100726.png,#F8D02E,"248,208,46",Amarillo,
50YY 80/242,Linaza,https://www.alba.com.ar/es/paletas-de-colores/linaza-50yy-80-242-1672397,,#F8E1B2,"248,225,178",Amarillo,
65YY 84/081,Litoral Marítimo,https://www.alba.com.ar/es/paletas-de-colores/litoral-maritimo-65yy-84-081-1672591,,#EFEAD6,"239,234,214",Amarillo,
66YY 85/231,Luna de Agosto,https://www.alba.com.ar/es/paletas-de-colores/luna-de-agosto-66yy-85-231-1672602,,#F7EBBD,"247,235,189",Amarillo,
52YY 89/117,Luna de Miel,https://www.alba.com.ar/es/paletas-de-colores/luna-de-miel-52yy-89-117-1672423,,#F7ECD5,"247,236,213",Amarillo,
62YY 83/382,Luz Astral,https://www.alba.com.ar/es/paletas-de-colores/luz-astral-62yy-83-382-3137159,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234549.png,#FCE99C,"252,233,156",Amarillo,
50YY 83/171,Luz Costera,https://www.alba.com.ar/es/paletas-de-colores/luz-costera-50yy-83-171-1672404,,#F6E5C3,"246,229,195",Amarillo,
70YY 83/187,Luz de Linterna,https://www.alba.com.ar/es/paletas-de-colores/luz-de-linterna-70yy-83-187-1672857,,#F4E9C2,"244,233,194",Amarillo,
67YY 87/169,Luz de Velas,https://www.alba.com.ar/es/paletas-de-colores/luz-de-velas-67yy-87-169-1672608,,#F8EECC,"248,238,204",Amarillo,
36YY 59/230,Luz Oriental,https://www.alba.com.ar/es/paletas-de-colores/luz-oriental-36yy-59-230-1671943,,#DBC399,"219,195,153",Amarillo,
49YY 75/130,Luz Relajante,https://www.alba.com.ar/es/paletas-de-colores/luz-relajante-49yy-75-130-1672160,,#E9DDC4,"233,221,196",Amarillo,
45YY 72/230,Magnolia Primaveral,https://www.alba.com.ar/es/paletas-de-colores/magnolia-primaveral-45yy-72-230-1672102,,#EED8AC,"238,216,172",Amarillo,
45YY 71/567,Mancha Solar,https://www.alba.com.ar/es/paletas-de-colores/mancha-solar-45yy-71-567-1672100,,#FED362,"254,211,98",Amarillo,
45YY 79/376,Margaritas Montañosas,https://www.alba.com.ar/es/paletas-de-colores/margaritas-montanosas-45yy-79-376-1672110,,#FFDF96,"255,223,150",Amarillo,
60YY 83/156,Mariposa de Verano,https://www.alba.com.ar/es/paletas-de-colores/mariposa-de-verano-60yy-83-156-1672545,,#F4E7C8,"244,231,200",Amarillo,
37YY 38/594,Mañana en el Bosque,https://www.alba.com.ar/es/paletas-de-colores/manana-en-el-bosque-37yy-38-594-1671947,,#C99C1D,"201,156,29",Amarillo,
61YY 76/109,Mañana Urbana,https://www.alba.com.ar/es/paletas-de-colores/manana-urbana-61yy-76-109-3137153,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234528.png,#E8E1CB,"232,225,203",Amarillo,
30YY 46/304,Miel Silvestre,https://www.alba.com.ar/es/paletas-de-colores/miel-silvestre-30yy-46-304-1671860,,#CFAD78,"207,173,120",Amarillo,
49YY 69/406,Mousse de Limón,https://www.alba.com.ar/es/paletas-de-colores/mousse-de-limon-49yy-69-406-1672159,,#F2D486,"242,212,134",Amarillo,
45YY 83/250,Mousse de Maracuyá,https://www.alba.com.ar/es/paletas-de-colores/mousse-de-maracuya-45yy-83-250-1672117,,#FCE5B4,"252,229,180",Amarillo,
